id,nombre,vac1dosis,vac2dosis,sinVacunar
1,Thailand,0,0,0
2,Peru,0,0,0
3,Yemen,0,0,0
4,Tunisia,0,0,0
5,China,0,0,0
6,Philippines,0,0,0
7,Poland,0,0,0
8,Spain,0,0,0
9,Saudi Arabia,0,0,0
10,Venezuela,0,0,0
11,Portugal,0,0,0
12,Brazil,0,0,0
13,Iceland,0,0,0
14,France,0,0,0
15,Colombia,0,0,0
16,Slovenia,0,0,0
17,Kenya,0,0,0
18,Indonesia,0,0,0
19,Ukraine,0,0,0
20,Norway,0,0,0
21,Chad,0,0,0
22,Kazakhstan,0,0,0
23,United States,0,0,0
24,Argentina,0,0,0
25,Ghana,0,0,0
26,Mexico,0,0,0
27,Uganda,0,0,0
28,Paraguay,0,0,0
29,Belarus,0,0,0
30,Italy,0,0,0
